Nome do Programa;Código do Programa;Nome da IES;Sigla da IES;UF;ME;DO;MP;DP
Biociências e Saúde;41007018005P6;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;SC;3;-;-;-
BIODIVERSIDADE;41006011014P9;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;SC;A;-;-;-
BIODIVERSIDADE ANIMAL;42002010026P8;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;4;4;-;-
BIODIVERSIDADE NEOTROPICAL;40043010007P8;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;UNILA;PR;3;-;-;-
Bioenergia - UEL - UEM - UEPG - UNICENTRO - UNIOESTE - UFPR;40002012041P8;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;3;-;-;-
Bioestatística;40004015040P4;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;4;-;-;-
Bioética;40003019018P2;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUC/PR;PR;3;-;-;-
Bioexperimentação;42009014009P7;FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO;FUPF;RS;4;4;-;-
BIOINFORMÁTICA;40006018037P6;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;3;-;-;-
BIOINFORMÁTICA;40001016175P8;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;CORNÉLIO PROCÓPIO;UTFPR-CP;PR;-;A;-;-
BIOINFORMÁTICA;40001016066P4;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;3;-;-;-
BIOLOGIA;42007011009P4;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;RS;5;5;-;-
BIOLOGIA ANIMAL;42001013057P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;5;5;-;-
BIOLOGIA ANIMAL;42003016053P8;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;3;-;-;-
BIOLOGIA CELULAR E DO DESENVOLVIMENTO;41001010074P3;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;4;4;-;-
BIOLOGIA CELULAR E MOLECULAR;42005019029P2;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUC/RS;RS;6;6;-;-
BIOLOGIA CELULAR E MOLECULAR;42001013068P2;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;7;7;-;-
BIOLOGIA CELULAR E MOLECULAR;40001016007P8;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
Biologia Celular e Molecular Aplicada à Saúde;42019010013P0;UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;RS;4;4;-;-
BIOLOGIA COMPARADA;40004015026P1;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;4;4;-;-
BIOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS;42004012013P2;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;RS;4;4;-;-
BIOLOGIA DE FUNGOS, ALGAS E PLANTAS;41001010043P0;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;4;4;-;-
BIOLOGIA EVOLUTIVA;40005011011P0;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;3;-;-;-
BIOQUÍMICA;40004015078P1;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;A;A;-;-
BIOQUÍMICA;41001010069P0;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;5;5;-;-
Bioquímica;42046017002P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;RS;4;4;-;-
Bioquímica e Bioprospecção;42003016040P3;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;4;4;-;-
BIOTECNOLOGIA;40002012023P0;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;5;5;-;-
BIOTECNOLOGIA;42005019035P2;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUC/RS;RS;A;A;-;-
BIOTECNOLOGIA;42008018001P0;UNIVERSIDADE DE CAXIAS DO SUL;UCS;RS;5;5;-;-
BIOTECNOLOGIA;42003016020P2;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;7;7;-;-
BIOTECNOLOGIA;42014018003P9;FUNDACAO VALE DO TAQUARI DE EDUCACAO E DESENVOLVIMENTO SOCIAL - FUVATES;UNIVATES;RS;4;4;-;-
BIOTECNOLOGIA;40006018176P6;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;4;-;-;-
Biotecnologia;40001016083P6;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;3;-;-;-
Biotecnologia Ambiental;40004015042P7;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;4;4;-;-
BIOTECNOLOGIA APLICADA À AGRICULTURA;40028011003P0;UNIVERSIDADE PARANAENSE;UNIPAR;PR;4;4;-;-
BIOTECNOLOGIA APLICADA A SAÚDE DA CRIANÇA E DO ADOLESCENTE;40037010001P3;FACULDADES PEQUENO PRÍNCIPE;FPP;PR;4;4;-;-
BIOTECNOLOGIA E BIOCIÊNCIAS;41001010035P8;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;5;5;-;-
BIOTECNOLOGIA E GESTÃO VITIVINÍCOLA;42008018010P9;UNIVERSIDADE DE CAXIAS DO SUL;UCS;RS;-;-;4;-
BIOTECNOLOGIA INDUSTRIAL;40022013004P9;UNIVERSIDADE POSITIVO;UP;PR;-;-;5;5
BOTÂNICA;40001016004P9;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;4;4;-;-
BOTÂNICA;42001013007P3;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;5;5;-;-
CIÊNCIA DE ALIMENTOS;40004015034P4;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;5;5;-;-
CIÊNCIA POLÍTICA;42001013033P4;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;4;4;-;-
CIENCIA ANIMAL;41002016008P3;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;5;5;-;-
CIÊNCIA ANIMAL;40002012009P7;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;6;6;-;-
CIÊNCIA ANIMAL;42046017005P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;RS;4;4;-;-
CIÊNCIA ANIMAL;40003019016P0;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUC/PR;PR;4;4;-;-
Ciência Animal;40001016077P6;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;4;4;-;-
CIÊNCIA ANIMAL COM ÊNFASE EM PRODUTOS BIOATIVOS;40028011002P4;UNIVERSIDADE PARANAENSE;UNIPAR;PR;4;4;-;-
CIÊNCIA DA COMPUTAÇÃO;40002012033P5;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;3;-;-;-
CIÊNCIA DA COMPUTAÇÃO;42005019016P8;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUC/RS;RS;6;6;-;-
CIÊNCIA DA COMPUTAÇÃO;40015017173P2;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;UNIOESTE;PR;A;-;-;-
CIÊNCIA DA COMPUTAÇÃO;40006018182P6;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;A;-;-;-
CIÊNCIA DA COMPUTAÇÃO;40004015019P5;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;4;4;-;-
CIÊNCIA DA COMPUTAÇÃO;40006018171P4;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;3;-;-;-
Ciência da Computação;42002010036P3;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;3;-;-;-
CIÊNCIA DA INFORMAÇÃO;41001010052P0;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;5;5;-;-
CIÊNCIA DA INFORMAÇÃO;42001013176P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;A;-;-;-
Ciência da Informação;40002012048P2;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;4;4;-;-
CIENCIA DO SOLO;41002016003P1;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;5;5;-;-
CIENCIA DO SOLO;40001016014P4;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
CIÊNCIA DO SOLO;42001013037P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;6;6;-;-
CIÊNCIA DO SOLO;42002010027P4;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;6;6;-;-
CIÊNCIA E ENGENHARIA DE MATERIAIS;42046017017P8;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;RS;A;-;-;-
CIÊNCIA E ENGENHARIA DE MATERIAIS;41001010031P2;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;7;7;-;-
CIÊNCIA E ENGENHARIA DE MATERIAIS;40006018175P0;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;3;-;-;-
CIÊNCIA E ENGENHARIA DE MATERIAIS;41002016001P9;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;3;3;-;-
Ciência e Engenharia de Materiais;41015010004P9;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;SC;4;4;-;-
Ciência e Engenharia de Materiais;42003016041P0;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;4;4;-;-
CIÊNCIA E TECNOLOGIA AMBIENTAL;41005015004P7;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;SC;5;5;-;-
CIÊNCIA E TECNOLOGIA AMBIENTAL;40006018013P0;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;3;-;-;-
CIÊNCIA E TECNOLOGIA AMBIENTAL;42002010164P1;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;A;-;-;-
Ciência e Tecnologia Ambiental;41020014004P9;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;SC;3;-;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;41002016164P5;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;3;-;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;41020014010P9;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;SC;3;-;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;42003016009P9;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;5;5;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;42045010003P0;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;UERGS;RS;-;-;A;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;40005011007P3;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;4;4;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;42003016054P4;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;-;-;3;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;42001013079P4;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;5;5;-;-
Ciência e Tecnologia de Alimentos;42009014010P5;FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO;FUPF;RS;3;-;-;-
CIÊNCIA E TECNOLOGIA DE LEITE E DERIVADOS;40024016002P9;UNIVERSIDADE PITÁGORAS UNOPAR;UNOPAR;PR;3;-;-;-
CIÊNCIA E TECNOLOGIA DE SEMENTES;42003016023P1;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;-;-;4;-
CIÊNCIA E TECNOLOGIA DE SEMENTES;42003016016P5;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;4;4;-;-
CIÊNCIA E TECNOLOGIA DOS ALIMENTOS;42002010013P3;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;4;4;-;-
CIÊNCIA JURÍDICA;41005015001P8;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;SC;6;6;-;-
CIÊNCIA JURÍDICA;40031012001P5;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ;UENP;PR;4;4;-;-
CIÊNCIA POLÍTICA;40001016061P2;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
Ciência Política;42003016037P2;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;4;4;-;-
CIÊNCIA, TECNOLOGIA E SOCIEDADE;40034011075P8;INSTITUTO FEDERAL DE EDUC., CIÊNCIA E TECNOLOGIA DO PARANÁ;IFPR;PR;3;-;-;-
CIÊNCIAS;40005011008P0;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;4;4;-;-
Ciências Agrárias;40004015039P6;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;3;-;-;-
CIÊNCIAS AMBIENTAIS;41015010001P0;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;SC;4;4;-;-
CIÊNCIAS AMBIENTAIS;42003016056P7;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;3;-;-;-
CIÊNCIAS AMBIENTAIS;42009014015P7;FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO;FUPF;RS;3;-;-;-
CIÊNCIAS AMBIENTAIS;41016017001P6;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;SC;4;4;-;-
CIÊNCIAS AMBIENTAIS;41002016158P5;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;3;-;-;-
CIÊNCIAS AMBIENTAIS;41008014005P2;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;SC;3;-;-;-
Ciências Ambientais;40015017023P0;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;UNIOESTE;PR;3;-;-;-
CIÊNCIAS APLICADAS A SAÚDE;40015017171P0;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;UNIOESTE;PR;3;-;-;-
CIÊNCIAS BIOLÓGICAS;42046017003P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;RS;4;4;-;-
CIÊNCIAS BIOLÓGICAS;40002012019P2;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;4;4;-;-
CIÊNCIAS BIOLÓGICAS;BIOLOGIA CELULAR;40004015001P9;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;5;5;-;-
CIÊNCIAS BIOLÓGICAS;BIOQUÍMICA;42001013006P7;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;7;7;-;-
CIÊNCIAS BIOLÓGICAS;BIOQUÍMICA TOXICOLÓGICA;42002010023P9;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;6;6;-;-
CIÊNCIAS BIOLÓGICAS;ENTOMOLOGIA;40001016005P5;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
Ciências Biológicas: Farmacologia e Terapêutica;42001013105P5;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;4;4;-;-
CIÊNCIAS BIOLÓGICAS;FISIOLOGIA;42001013009P6;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;5;5;-;-
CIÊNCIAS BIOLÓGICAS;NEUROCIÊNCIAS;42001013011P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;5;5;-;-
CIÊNCIAS BIOMÉDICAS;41020014015P0;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;SC;A;-;-;-
CIÊNCIAS BIOMÉDICAS;40005011018P5;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;3;-;-;-
CIÊNCIAS;BIOQUÍMICA;40001016003P2;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;7;7;-;-
CIÊNCIAS CONTÁBEIS;42007011008P8;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;RS;5;5;-;-
CIÊNCIAS CONTÁBEIS;42002010167P0;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;A;-;-;-
CIÊNCIAS CONTÁBEIS;41006011007P2;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;SC;5;5;-;-
Ciências Contábeis;40004015044P0;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;3;-;-;-
CIÊNCIAS CONTÁBEIS E ADMINISTRAÇÃO;41016017007P4;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;SC;3;-;-;-
CIÊNCIAS CRIMINAIS;42005019023P4;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUC/RS;RS;5;5;-;-
CIÊNCIAS DA COMPUTAÇÃO;41001010025P2;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;5;5;-;-
CIÊNCIAS DA COMUNICAÇÃO;42007011004P2;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;RS;6;6;-;-
CIÊNCIAS DA LINGUAGEM;41008014001P7;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;SC;5;5;-;-
CIÊNCIAS DA NUTRIÇÃO;42015014014P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;UFCSPA;RS;3;-;-;-
CIÊNCIAS DA REABILITAÇÃO;41001010160P7;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;3;-;-;-
CIÊNCIAS DA REABILITAÇÃO;40002012042P4;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;5;5;-;-
Ciências da Reabilitação;42015014008P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;UFCSPA;RS;4;4;-;-
CIENCIAS DA SAUDE;40003019013P0;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUC/PR;PR;5;5;-;-
CIÊNCIAS DA SAÚDE;40005011170P1;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;3;-;-;-
CIÊNCIAS DA SAÚDE;42002010049P8;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;-;-;4;-
CIÊNCIAS DA SAÚDE;41015010003P2;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;SC;6;6;-;-
CIÊNCIAS DA SAÚDE;40004015021P0;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;5;5;-;-
CIÊNCIAS DA SAÚDE;42004012012P6;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;RS;5;5;-;-
CIÊNCIAS DA SAÚDE;42015014006P4;FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;UFCSPA;RS;5;5;-;-
CIÊNCIAS DA SAÚDE;42008018034P5;UNIVERSIDADE DE CAXIAS DO SUL;UCS;RS;4;4;-;-
Ciências da Saúde;41016017003P9;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;SC;4;4;-;-
Ciências da Saúde;41008014004P6;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;SC;5;5;-;-
Ciências da Saúde;40002012046P0;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;5;5;-;-
CIÊNCIAS DA SAÚDE;CARDIOLOGIA;42018013002P8;FUNDAÇÃO UNIVERSITÁRIA DE CARDIOLOGIA;FUC;RS;5;5;-;-
CIÊNCIAS DA SAÚDE: CARDIOLOGIA E CIÊNCIAS CARDIOVASCULARES;42001013017P9;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;6;6;-;-
CIÊNCIAS DA SAÚDE E DA VIDA;42039010005P7;UNIVERSIDADE FRANCISCANA;UFN;RS;3;-;-;-
Ciências da Saúde: Ginecologia e Obstetrícia;42001013106P1;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;4;4;-;-
CIÊNCIAS DE ALIMENTOS;40002012003P9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;4;4;-;-
CIÊNCIAS DO MOVIMENTO HUMANO;40031012072P0;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ;UENP;PR;A;-;-;-
CIÊNCIAS DO MOVIMENTO HUMANO;41002016004P8;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;4;4;-;-
CIÊNCIAS DO MOVIMENTO HUMANO;42001013051P2;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;6;6;-;-
CIÊNCIAS DOS ALIMENTOS;41001010021P7;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;6;6;-;-
CIÊNCIAS DOS MATERIAIS;42001013056P4;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;5;5;-;-
Ciências e Tecnologias na Educação;42033012002P0;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;IFSUL;RS;-;-;3;-
CIÊNCIAS EM GASTROENTEROLOGIA E HEPATOLOGIA;42001013018P5;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;4;4;-;-
CIÊNCIAS FARMACÊUTICAS;40004015018P9;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;5;5;-;-
CIÊNCIAS FARMACÊUTICAS;42001013023P9;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;7;7;-;-
CIÊNCIAS FARMACÊUTICAS;40014010006P2;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;4;4;-;-
CIÊNCIAS FARMACÊUTICAS;40002012172P5;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;3;-;-;-
CIÊNCIAS FARMACÊUTICAS;41005015008P2;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;SC;4;4;-;-
CIÊNCIAS FARMACÊUTICAS;40001016042P8;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
CIÊNCIAS FARMACÊUTICAS;42002010029P7;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;5;5;-;-
Ciências Farmacêuticas;42046017007P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;RS;3;-;-;-
Ciências Farmacêuticas;40015017021P8;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;UNIOESTE;PR;3;-;-;-
CIÊNCIAS FISIOLÓGICAS;40002012175P4;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;A;A;-;-
CIÊNCIAS FISIOLÓGICAS;40004015071P7;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;3;-;-;-
Ciências Fisiológicas;42004012008P9;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;RS;4;4;-;-
CIÊNCIAS FLORESTAIS;40014010004P0;UNIVERSIDADE ESTADUAL DO CENTRO-OESTE;UNICENTRO;PR;4;4;-;-
CIÊNCIAS GEODÉSICAS;40001016002P6;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
CIÊNCIAS JURÍDICAS;40030016001P9;UNIVERSIDADE CESUMAR;UNICESUMAR;PR;4;4;-;-
CIÊNCIAS MÉDICAS;41001010070P8;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC;4;4;-;-
CIÊNCIAS MÉDICAS;42014018171P9;FUNDACAO VALE DO TAQUARI DE EDUCACAO E DESENVOLVIMENTO SOCIAL - FUVATES;UNIVATES;RS;A;-;-;-
CIÊNCIAS MÉDICAS: ENDOCRINOLOGIA;42001013060P1;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;6;6;-;-
CIÊNCIAS ODONTOLÓGICAS;42002010042P3;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;5;5;-;-
CIÊNCIAS PNEUMOLÓGICAS;42001013020P0;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;3;3;-;-
CIÊNCIAS SOCIAIS;42002010041P7;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS;4;4;-;-
CIÊNCIAS SOCIAIS;42005019030P0;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUC/RS;RS;5;5;-;-
CIÊNCIAS SOCIAIS;42007011011P9;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;RS;4;4;-;-
Ciências Sociais;40004015031P5;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR;3;-;-;-
CIÊNCIAS SOCIAIS APLICADAS;40005011003P8;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;4;4;-;-
CIÊNCIAS VETERINÁRIAS;40001016023P3;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR;5;5;-;-
CIÊNCIAS VETERINÁRIAS;42001013030P5;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;6;6;-;-
CIÊNCIAS VETERINÁRIAS;40014010042P9;UNIVERSIDADE ESTADUAL DO CENTRO-OESTE;UNICENTRO;PR;3;-;-;-
CINEMA E ARTES DO VÍDEO;40076016004P3;UNIVERSIDADE ESTADUAL DO PARANÁ;UNESPAR;PR;A;-;-;-
CLIMA E AMBIENTE;41011015003P7;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;IFSC;SC;-;-;3;-
Clínicas Veterinárias;40002012049P9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR;-;-;4;-
COMPUTAÇÃO;41005015010P7;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;SC;3;-;-;-
COMPUTAÇÃO;42001013004P4;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS;7;7;-;-
Computação;42004012022P1;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;RS;3;-;-;-
Computação;42003016038P9;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;RS;4;4;-;-
COMPUTAÇÃO APLICADA;42046017013P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;RS;3;-;-;-
COMPUTAÇÃO APLICADA;42007011006P5;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;RS;4;4;-;-
Computação Aplicada;42009014011P1;FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO;FUPF;RS;-;-;3;-
Computação Aplicada;40005011013P3;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;PR;3;-;-;-
Computação Aplicada;41002016023P2;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC;3;-;-;-
Computação Aplicada;40006018011P7;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR;-;-;3;-
